id,bowler,wickets,venue,batting_team
335996,B Akhil,0,M Chinnaswamy Stadium,Chennai Super Kings
335996,JDP Oram,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
335996,MS Gony,3,M Chinnaswamy Stadium,Royal Challengers Bangalore
335996,JA Morkel,1,M Chinnaswamy Stadium,Royal Challengers Bangalore
335996,P Amarnath,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
335996,Joginder Sharma,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
335997,SM Pollock,2,Eden Gardens,Kolkata Knight Riders
335997,A Nehra,0,Eden Gardens,Kolkata Knight Riders
335997,CRD Fernando,1,Eden Gardens,Kolkata Knight Riders
335997,DS Kulkarni,0,Eden Gardens,Kolkata Knight Riders
335997,DJ Bravo,1,Eden Gardens,Kolkata Knight Riders
335997,ST Jayasuriya,4,Eden Gardens,Kolkata Knight Riders
335997,AB Agarkar,1,Eden Gardens,Mumbai Indians
335997,I Sharma,1,Eden Gardens,Mumbai Indians
335997,AB Dinda,1,Eden Gardens,Mumbai Indians
335997,M Kartik,0,Eden Gardens,Mumbai Indians
335997,Mohammad Hafeez,0,Eden Gardens,Mumbai Indians
335997,SC Ganguly,0,Eden Gardens,Mumbai Indians
335997,LR Shukla,0,Eden Gardens,Mumbai Indians
335998,DW Steyn,2,Feroz Shah Kotla,Delhi Daredevils
335998,Z Khan,1,Feroz Shah Kotla,Delhi Daredevils
335998,P Kumar,0,Feroz Shah Kotla,Delhi Daredevils
335998,R Vinay Kumar,0,Feroz Shah Kotla,Delhi Daredevils
335998,JH Kallis,2,Feroz Shah Kotla,Delhi Daredevils
335998,V Kohli,0,Feroz Shah Kotla,Delhi Daredevils
335998,SB Joshi,0,Feroz Shah Kotla,Delhi Daredevils
335998,GD McGrath,4,Feroz Shah Kotla,Royal Challengers Bangalore
335998,Mohammad Asif,0,Feroz Shah Kotla,Royal Challengers Bangalore
335998,VY Mahesh,0,Feroz Shah Kotla,Royal Challengers Bangalore
335998,DL Vettori,1,Feroz Shah Kotla,Royal Challengers Bangalore
335998,R Bhatia,0,Feroz Shah Kotla,Royal Challengers Bangalore
335998,Shoaib Malik,0,Feroz Shah Kotla,Royal Challengers Bangalore
335998,V Sehwag,0,Feroz Shah Kotla,Royal Challengers Bangalore
335999,S Sreesanth,1,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335999,IK Pathan,2,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335999,VRV Singh,0,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335999,PP Chawla,4,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335999,Gagandeep Singh,1,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335999,RP Singh,0,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
335999,DNT Zoysa,1,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
335999,Shahid Afridi,0,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
335999,SB Bangar,1,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
335999,D Kalyankrishna,1,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
335999,Y Venugopal Rao,0,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
336000,AB Dinda,0,Sawai Mansingh Stadium,Rajasthan Royals
336000,I Sharma,1,Sawai Mansingh Stadium,Rajasthan Royals
336000,AB Agarkar,1,Sawai Mansingh Stadium,Rajasthan Royals
336000,Umar Gul,4,Sawai Mansingh Stadium,Rajasthan Royals
336000,DJ Hussey,0,Sawai Mansingh Stadium,Rajasthan Royals
336000,SC Ganguly,0,Sawai Mansingh Stadium,Rajasthan Royals
336000,LR Shukla,1,Sawai Mansingh Stadium,Rajasthan Royals
336000,SR Watson,2,Sawai Mansingh Stadium,Kolkata Knight Riders
336000,Sohail Tanvir,3,Sawai Mansingh Stadium,Kolkata Knight Riders
336000,SK Trivedi,3,Sawai Mansingh Stadium,Kolkata Knight Riders
336000,MM Patel,0,Sawai Mansingh Stadium,Kolkata Knight Riders
336000,SK Warne,1,Sawai Mansingh Stadium,Kolkata Knight Riders
336000,YK Pathan,1,Sawai Mansingh Stadium,Kolkata Knight Riders
336001,GD McGrath,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336001,Mohammad Asif,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336001,VY Mahesh,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336001,PJ Sangwan,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336001,Shoaib Malik,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336001,V Sehwag,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336001,R Bhatia,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336001,M Ntini,0,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
336001,MS Gony,1,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
336001,JA Morkel,0,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
336001,Joginder Sharma,1,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
336001,M Muralitharan,0,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
336002,A Kumble,1,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
336002,DW Steyn,3,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
336002,JH Kallis,0,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
336002,V Kohli,2,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
336002,R Vinay Kumar,4,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
336002,B Akhil,0,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
336002,WPUJC Vaas,2,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
336002,RP Singh,0,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
336002,SB Bangar,2,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
336002,DP Vijaykumar,0,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
