id,batsman,batsman_runs,bowling_team,Venue,runs_in_powerplay,runs_in_death,Innings,Bowler,Bowler_Type
335988,AS Yadav,12,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,12,1,VY Mahesh,Right arm medium pace
335988,WPUJC Vaas,12,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,12,1,not out,Not Out
335988,RP Singh,1,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,1,1,not out,Not Out
335988,G Gambhir,12,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",12,0,2,RP Singh,Left arm medium pace
335988,V Sehwag,94,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",24,0,2,not out,Not Out
335988,S Dhawan,25,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",11,0,2,not out,Not Out
335989,PA Patel,14,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",14,0,1,A Nehra,Left arm medium pace
335989,ML Hayden,81,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",24,25,1,not out,Not Out
335989,MEK Hussey,5,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",5,0,1,DS Kulkarni,Right arm medium pace
335989,SK Raina,53,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",3,0,1,MA Khote,Right arm medium pace
335989,MS Dhoni,30,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",0,30,1,MA Khote,Right arm medium pace
335989,JDP Oram,5,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",0,5,1,not out,Not Out
335989,S Badrinath,2,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",0,2,1,not out,Not Out
335989,L Ronchi,2,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,0,2,not out,Not Out
335989,ST Jayasuriya,20,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",20,0,2,MS Gony,Right arm medium pace
335989,RV Uthappa,43,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",22,0,2,Joginder Sharma,Right arm medium pace
335989,SM Pollock,17,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1,0,2,P Amarnath,Right arm medium pace
335989,DJ Bravo,24,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,0,2,Joginder Sharma,Right arm medium pace
335989,AM Nayar,45,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,32,2,not out,Not Out
335989,MA Khote,9,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,6,2,M Muralitharan,Right arm off spin
335989,Harbhajan Singh,28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,28,2,M Muralitharan,Right arm off spin
335989,A Nehra,1,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,1,2,not out,Not Out
335990,AC Gilchrist,13,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",13,0,1,YK Pathan,Right arm off spin
335990,VVS Laxman,16,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",13,0,1,SK Warne,Right arm leg spin
335990,Shahid Afridi,10,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",10,0,1,YK Pathan,Right arm off spin
335990,A Symonds,117,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",21,30,1,not out,Not Out
335990,RG Sharma,36,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",0,17,1,SK Warne,Right arm leg spin
335990,AS Yadav,16,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",0,16,1,SR Watson,Right arm medium pace
335990,Kamran Akmal,12,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",12,0,2,WPUJC Vaas,Left arm medium pace
335990,GC Smith,71,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",22,20,2,Shahid Afridi,Right arm leg spin
335990,YK Pathan,61,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",36,0,2,D Kalyankrishna,Right arm medium pace
335990,SR Watson,4,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0,0,2,Shahid Afridi,Right arm leg spin
335990,M Kaif,34,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0,7,2,Shahid Afridi,Right arm leg spin
335990,RA Jadeja,1,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0,1,2,RP Singh,Left arm medium pace
