id,bowler,is_wicket,Bowler_Type
336004,PJ Sangwan,1,Left_medium
336004,R Bhatia,1,Right_medium
336004,RR Raje,0,Right_medium
336004,Shoaib Malik,1,Right_off
336004,SM Pollock,2,Right_medium
336004,ST Jayasuriya,0,Left_leg
336004,V Sehwag,1,Right_off
336004,VY Mahesh,3,Right_medium
336005,JA Morkel,0,Right_medium
336005,M Muralitharan,1,Right_off
336005,M Ntini,0,Right_medium
336005,MM Patel,2,Right_medium
336005,MS Gony,0,Right_medium
336005,S Vidyut,1,Right_medium
336005,SK Raina,0,Right_off
336005,SK Trivedi,0,Right_medium
336005,SK Warne,1,Right_leg
336005,Sohail Tanvir,6,Left_medium
336005,SR Watson,1,Right_medium
336005,YK Pathan,0,Right_off
336006,A Kumble,0,Right_leg
336006,DW Steyn,0,Right_medium
336006,Gagandeep Singh,0,Right_medium
336006,IK Pathan,3,Left_medium
336006,JH Kallis,0,Right_medium
336006,JR Hopes,0,Right_medium
336006,P Kumar,2,Right_medium
336006,PP Chawla,3,Right_leg
336006,S Sreesanth,2,Right_medium
336006,VRV Singh,2,Right_medium
336006,Z Khan,2,Left_medium
336007,DP Vijaykumar,1,Right_medium
336007,JA Morkel,1,Right_medium
336007,Joginder Sharma,0,Right_medium
336007,M Muralitharan,1,Right_off
336007,M Ntini,0,Right_medium
336007,MS Gony,1,Right_medium
336007,PP Ojha,1,Left_off
336007,RP Singh,2,Left_medium
336007,SB Bangar,1,Right_medium
336007,SB Styris,1,Right_medium
336007,Shahid Afridi,1,Right_leg
336008,A Nehra,3,Left_medium
336008,DJ Bravo,2,Right_medium
336008,DS Kulkarni,2,Right_medium
336008,MM Patel,0,Right_medium
336008,RR Raje,2,Right_medium
336008,SK Trivedi,0,Right_medium
336008,SK Warne,1,Right_leg
336008,SM Pollock,1,Right_medium
336008,Sohail Tanvir,0,Left_medium
336008,SR Watson,2,Right_medium
336008,ST Jayasuriya,0,Left_leg
336009,CK Kapugedera,0,Right_medium
336009,GD McGrath,1,Right_medium
336009,JA Morkel,2,Right_medium
336009,L Balaji,2,Right_medium
336009,M Muralitharan,0,Right_off
336009,Mohammad Asif,1,Right_medium
336009,MS Gony,1,Right_medium
336009,P Amarnath,0,Right_medium
336009,PJ Sangwan,2,Left_medium
336009,Shoaib Malik,0,Right_off
336009,V Sehwag,0,Right_off
336009,VY Mahesh,2,Right_medium
336010,A Kumble,1,Right_leg
336010,AB Dinda,0,Right_medium
336010,DW Steyn,3,Right_medium
336010,I Sharma,1,Right_medium
336010,LR Shukla,0,Right_medium
336010,M Kartik,1,Left_off
336010,P Kumar,1,Right_medium
336010,R Vinay Kumar,1,Right_medium
336010,SC Ganguly,1,Right_medium
336010,Umar Gul,1,Right_medium
336010,Z Khan,1,Left_medium
336011,DP Vijaykumar,0,Right_medium
336011,MM Patel,1,Right_medium
336011,PP Ojha,1,Left_off
336011,RP Singh,1,Left_medium
336011,SB Bangar,0,Right_medium
336011,SB Styris,0,Right_medium
336011,Shahid Afridi,0,Right_leg
336011,SK Trivedi,2,Right_medium
336011,SK Warne,2,Right_leg
336011,Sohail Tanvir,1,Left_medium
336011,SR Watson,1,Right_medium
336011,Y Venugopal Rao,0,Right_off
336011,YK Pathan,1,Right_off
336012,A Kumble,0,Right_leg
336012,A Nehra,1,Left_medium
336012,B Akhil,0,Right_medium
336012,CRD Fernando,5,Right_medium
336012,DR Smith,3,Right_medium
336012,DS Kulkarni,0,Right_medium
336012,DW Steyn,1,Right_medium
336012,P Kumar,0,Right_medium
336012,R Vinay Kumar,0,Right_medium
336012,SM Pollock,0,Right_medium
336013,CK Kapugedera,0,Right_medium
336013,IK Pathan,0,Left_medium
336013,JA Morkel,1,Right_medium
336013,JR Hopes,0,Right_medium
336013,L Balaji,5,Right_medium
336013,M Muralitharan,1,Right_off
336013,MS Gony,1,Right_medium
336013,P Amarnath,1,Right_medium
336013,PP Chawla,1,Right_leg
336013,S Sreesanth,2,Right_medium
336013,VRV Singh,1,Right_medium
336013,Yuvraj Singh,0,Left_leg
336014,AB Dinda,3,Right_medium
336014,DP Vijaykumar,1,Right_medium
336014,I Sharma,0,Right_medium
336014,LR Shukla,1,Right_medium
336014,M Kartik,0,Left_off
336014,PP Ojha,0,Left_off
336014,RP Singh,1,Left_medium
336014,SB Bangar,0,Right_medium
336014,SB Styris,0,Right_medium
336014,SC Ganguly,2,Right_medium
336014,Umar Gul,1,Right_medium
336014,WPUJC Vaas,1,Left_medium
336014,Y Venugopal Rao,1,Right_off
336015,A Mishra,2,Right_leg
336015,AD Mascarenhas,2,Right_medium
336015,GD McGrath,1,Right_medium
336015,MF Maharoof,3,Right_medium
336015,MM Patel,1,Right_medium
336015,PJ Sangwan,0,Left_medium
336015,SK Trivedi,2,Right_medium
336015,SK Warne,0,Right_leg
336015,SR Watson,2,Right_medium
336015,V Sehwag,1,Right_off
336015,VY Mahesh,0,Right_medium
336016,A Kumble,0,Right_leg
336016,DW Steyn,0,Right_medium
336016,IK Pathan,2,Left_medium
336016,JR Hopes,0,Right_medium
336016,P Kumar,0,Right_medium
336016,PP Chawla,2,Right_leg
336016,R Vinay Kumar,1,Right_medium
336016,S Sreesanth,3,Right_medium
336016,V Kohli,0,Right_medium
336016,VRV Singh,1,Right_medium
336016,Yuvraj Singh,0,Left_leg
336016,Z Khan,0,Left_medium
336017,A Mishra,0,Right_leg
336017,AB Dinda,2,Right_medium
336017,GD McGrath,0,Right_medium
336017,I Sharma,0,Right_medium
336017,Iqbal Abdulla,1,Left_off
336017,LR Shukla,3,Right_medium
336017,MF Maharoof,2,Right_medium
336017,PJ Sangwan,2,Left_medium
336017,SC Ganguly,0,Right_medium
336017,Shoaib Akhtar,4,Right_medium
336017,V Sehwag,0,Right_off
336017,VY Mahesh,2,Right_medium
336018,A Nehra,0,Left_medium
336018,CK Kapugedera,0,Right_medium
336018,DJ Bravo,2,Right_medium
336018,DJ Thornely,0,Right_medium
336018,DS Kulkarni,3,Right_medium
336018,JA Morkel,0,Right_medium
336018,Joginder Sharma,1,Right_medium
336018,L Balaji,0,Right_medium
336018,M Muralitharan,0,Right_off
336018,MS Gony,0,Right_medium
336018,RR Raje,0,Right_medium
336018,SM Pollock,1,Right_medium
336019,D Salunkhe,0,Right_leg
336019,IK Pathan,1,Left_medium
336019,JR Hopes,2,Right_medium
336019,MM Patel,0,Right_medium
336019,Pankaj Singh,0,Right_medium
336019,PP Chawla,3,Right_leg
336019,RR Powar,0,Right_off
336019,S Sreesanth,1,Right_medium
336019,SK Trivedi,0,Right_medium
336019,SR Watson,2,Right_medium
336019,VRV Singh,0,Right_medium
336019,YK Pathan,1,Right_off
336019,Yuvraj Singh,0,Left_leg
336020,A Mishra,5,Right_leg
336020,DP Vijaykumar,1,Right_medium
336020,GD McGrath,2,Right_medium
336020,MF Maharoof,2,Right_medium
336020,Mohammad Asif,0,Right_medium
336020,PM Sarvesh Kumar,0,Right_medium
336020,PP Ojha,2,Left_off
336020,R Bhatia,0,Right_medium
336020,RP Singh,1,Left_medium
336020,SB Styris,0,Right_medium
336020,Shahid Afridi,0,Right_leg
336020,Y Venugopal Rao,0,Right_off
336021,A Nehra,0,Left_medium
336021,AB Agarkar,0,Right_medium
336021,DJ Bravo,2,Right_medium
336021,DJ Thornely,2,Right_medium
336021,I Sharma,1,Right_medium
336021,RR Raje,2,Right_medium
336021,Shoaib Akhtar,1,Right_medium
336021,SM Pollock,4,Right_medium
336022,A Mishra,1,Right_leg
336022,GD McGrath,1,Right_medium
336022,IK Pathan,0,Left_medium
336022,JR Hopes,2,Right_medium
336022,MF Maharoof,0,Right_medium
336022,PJ Sangwan,1,Left_medium
336022,PP Chawla,0,Right_leg
336022,R Bhatia,0,Right_medium
336022,RR Powar,2,Right_off
336022,S Sreesanth,0,Right_medium
336022,V Sehwag,0,Right_off
336022,VRV Singh,0,Right_medium
336023,A Kumble,1,Right_leg
336023,Abdur Razzak,0,Left_leg
336023,JH Kallis,0,Right_medium
336023,MM Patel,2,Right_medium
336023,P Kumar,0,Right_medium
336023,RA Jadeja,0,Left_leg
336023,SK Trivedi,1,Right_medium
336023,SK Warne,3,Right_leg
336023,Sohail Tanvir,3,Left_medium
336023,SR Watson,0,Right_medium
336023,V Kohli,0,Right_medium
336023,YK Pathan,0,Right_off
336023,Z Khan,0,Left_medium
336024,A Nehra,0,Left_medium
336024,AM Nayar,1,Right_medium
336024,CRD Fernando,3,Right_medium
336024,DJ Bravo,3,Right_medium
336024,DJ Thornely,0,Right_medium
336024,DNT Zoysa,0,Left_medium
336024,DP Vijaykumar,0,Right_medium
336024,PP Ojha,0,Left_off
336024,RP Singh,3,Left_medium
336024,RR Raje,0,Right_medium
336024,Shahid Afridi,2,Right_leg
336024,ST Jayasuriya,0,Left_leg
336024,Y Venugopal Rao,2,Right_off
336025,AB Agarkar,0,Right_medium
336025,AB Dinda,0,Right_medium
336025,I Sharma,0,Right_medium
336025,JA Morkel,0,Right_medium
336025,L Balaji,1,Right_medium
336025,M Muralitharan,0,Right_off
336025,M Ntini,4,Right_medium
336025,MS Gony,0,Right_medium
336025,Shoaib Akhtar,0,Right_medium
336026,A Kumble,2,Right_leg
336026,B Akhil,1,Right_medium
336026,DW Steyn,1,Right_medium
336026,GD McGrath,2,Right_medium
336026,JH Kallis,0,Right_medium
336026,MF Maharoof,4,Right_medium
336026,P Kumar,1,Right_medium
336026,PJ Sangwan,0,Left_medium
336026,R Bhatia,0,Right_medium
336026,TM Dilshan,1,Right_off
336026,VY Mahesh,0,Right_medium
336026,Z Khan,0,Left_medium
336027,AB Agarkar,0,Right_medium
336027,AB Dinda,0,Right_medium
336027,I Sharma,1,Right_medium
336027,LR Shukla,0,Right_medium
336027,MM Patel,2,Right_medium
336027,SC Ganguly,1,Right_medium
336027,SK Trivedi,1,Right_medium
336027,SK Warne,0,Right_leg
336027,Sohail Tanvir,3,Left_medium
336027,SR Watson,1,Right_medium
336027,Umar Gul,2,Right_medium
336027,YK Pathan,1,Right_off
336028,A Nehra,0,Left_medium
336028,CRD Fernando,1,Right_medium
336028,DR Smith,0,Right_medium
336028,IK Pathan,1,Left_medium
336028,JR Hopes,0,Right_medium
336028,PP Chawla,2,Right_leg
336028,S Sreesanth,2,Right_medium
336028,SD Chitnis,2,Right_off
336028,SM Pollock,1,Right_medium
336028,VRV Singh,3,Right_medium
336028,VS Yeligati,0,Right_medium
336028,Yuvraj Singh,2,Left_leg
336029,A Kumble,3,Right_leg
336029,B Akhil,0,Right_medium
336029,DW Steyn,3,Right_medium
336029,JA Morkel,4,Right_medium
336029,JH Kallis,0,Right_medium
336029,L Balaji,1,Right_medium
336029,M Muralitharan,1,Right_off
336029,M Ntini,0,Right_medium
336029,MS Gony,2,Right_medium
336029,P Kumar,1,Right_medium
336029,R Vinay Kumar,1,Right_medium
336031,DP Vijaykumar,0,Right_medium
336031,Gagandeep Singh,1,Right_medium
336031,PP Chawla,0,Right_leg
336031,PP Ojha,2,Left_off
336031,RG Sharma,1,Right_off
336031,RP Singh,0,Left_medium
336031,RR Powar,1,Right_off
336031,S Sreesanth,1,Right_medium
336031,SB Styris,1,Right_medium
336031,VRV Singh,1,Right_medium
336031,Y Venugopal Rao,0,Right_off
336031,Yuvraj Singh,0,Left_leg
336032,A Mishra,1,Right_leg
336032,A Nehra,1,Left_medium
336032,A Nel,1,Right_medium
336032,B Geeves,1,Right_medium
336032,DR Smith,2,Right_medium
336032,DS Kulkarni,0,Right_medium
336032,GD McGrath,0,Right_medium
336032,MF Maharoof,1,Right_medium
336032,SM Pollock,1,Right_medium
336032,ST Jayasuriya,0,Left_leg
336032,VY Mahesh,5,Right_medium
336033,D Salunkhe,0,Right_leg
336033,JA Morkel,2,Right_medium
336033,L Balaji,0,Right_medium
336033,M Muralitharan,0,Right_off
336033,M Ntini,1,Right_medium
336033,MM Patel,1,Right_medium
336033,MS Gony,0,Right_medium
336033,Pankaj Singh,0,Right_medium
336033,SK Raina,2,Right_off
336033,SK Warne,2,Right_leg
336033,Sohail Tanvir,3,Left_medium
336033,YK Pathan,1,Right_off
336034,A Kumble,0,Right_leg
336034,DP Vijaykumar,0,Right_medium
336034,DW Steyn,0,Right_medium
336034,JH Kallis,1,Right_medium
336034,P Kumar,3,Right_medium
336034,PP Ojha,2,Left_off
336034,RP Singh,3,Left_medium
336034,SB Bangar,0,Right_medium
336034,SB Styris,2,Right_medium
336034,Shahid Afridi,1,Right_leg
336034,Z Khan,2,Left_medium
336035,AB Dinda,1,Right_medium
336035,BAW Mendis,1,Right_off
336035,DJ Hussey,0,Right_off
336035,I Sharma,0,Right_medium
336035,IK Pathan,0,Left_medium
336035,JR Hopes,1,Right_medium
336035,LR Shukla,0,Right_medium
336035,PP Chawla,2,Right_leg
336035,RR Powar,0,Right_off
336035,S Sreesanth,2,Right_medium
336035,Umar Gul,4,Right_medium
336035,VRV Singh,2,Right_medium
336036,A Nehra,1,Left_medium
336036,AM Nayar,0,Right_medium
336036,CRD Fernando,2,Right_medium
336036,DR Smith,0,Right_medium
336036,Pankaj Singh,0,Right_medium
336036,RR Raje,2,Right_medium
336036,SK Trivedi,2,Right_medium
336036,SK Warne,1,Right_leg
336036,SM Pollock,0,Right_medium
336036,Sohail Tanvir,4,Left_medium
336036,SR Watson,0,Right_medium
336036,ST Jayasuriya,0,Left_leg
336036,YK Pathan,0,Right_off
336037,DP Vijaykumar,1,Right_medium
336037,JA Morkel,3,Right_medium
336037,L Balaji,2,Right_medium
336037,M Muralitharan,1,Right_off
336037,M Ntini,1,Right_medium
336037,MS Gony,1,Right_medium
336037,PM Sarvesh Kumar,1,Right_medium
336037,PP Ojha,1,Left_off
336037,RP Singh,0,Left_medium
336037,SB Styris,0,Right_medium
336037,Shahid Afridi,0,Right_leg
336038,A Mishra,2,Right_leg
336038,GD McGrath,0,Right_medium
336038,MF Maharoof,3,Right_medium
336038,MM Patel,3,Right_medium
336038,Mohammad Asif,2,Right_medium
336038,RA Jadeja,1,Left_leg
336038,SK Trivedi,1,Right_medium
336038,SK Warne,2,Right_leg
